serial_number;product_name;product_number;inizio_garanzia;fine_garanzia;etichetta;note;smaltito;aula;marca;tipo;macaddress(separare con virgole);note (separare con virgole)
;;CP-A300N;0000-00-00;0000-00-00;;;0;aula23;Hitachi;Lavagna multimediale
V1Q5326833;FS-4100DN;FS-4100DN;0000-00-00;0000-00-00;aula23bn14;;0;aula23;Kyocera;Stampante
CZC3216NTQ;HP Compaq Elite 8300 CMT PC ALL;QV993AV;2013-05-25;2016-06-23;client8871;;0;aula23;HP;Tower
;;P5280;0000-00-00;0000-00-00;BEAMER7;;0;aula23;Acer;Beamer
;;P5280;0000-00-00;0000-00-00;BEAMER8;;0;aula24;Acer;Beamer
VLAGD32;ASSEMBLY L171P-9417 Monitor;4439HB2;2007-09-27;2010-09-26;MON 20;;0;aula24;Lenovo;Monitor
;;CP-A300N;0000-00-00;0000-00-00;;;0;aula24;Hitachi;Lavagna multimediale
XEY0135086;FS-3920DN;FS-3920DN;0000-00-00;0000-00-00;aula24bn15;;0;aula24;Kyocera;Stampante
FXT77 022490;StarBoard;;0000-00-00;0000-00-00;;beamer della LIM;0;aula24;Hitachi;Beamer
CZC3216NTP;HP Compaq Elite 8300 CMT PC ALL;QV993AV;2013-05-25;2016-06-23;CLIENT8847;;0;aula24;HP;Tower
CZC2197H2M;HP Compaq 8200 Elite CMT PC;XL508AV;2012-05-14;2015-06-12;client8867;;0;aula31;HP;Tower
VLAGD48;ASSEMBLY L171P-9417 Monitor;4438HB2;2007-09-27;2010-09-26;Mon2;;0;aula31;Lenovo;Monitor
VLAGD48;ASSEMBLY L171P-9417 Monitor;4438HB2;2007-09-27;2010-09-26;Mon2;;0;aula31;Lenovo;Monitor
XEY0135093;FS-3920DN;FS-3920DN;0000-00-00;0000-00-00;Aula31BN16;;0;aula31;Kyocera;Stampante
F0J021806;;CP-A100;0000-00-00;0000-00-00;;beamer della LIM;0;aula31;Hitachi;Beamer
V698362;ThinkVision L1940p 19-inch Wide Monitor;4424HB6;2009-06-05;2012-06-04;Mon15;;0;aula32;Lenovo;Monitor
;StarBoard;;0000-00-00;0000-00-00;;;0;aula32;Hitachi;Lavagna multimediale
XEY0135928;FS-3920DN;FS-3920DN;0000-00-00;0000-00-00;aula32bn17;;0;aula32;Kyocera;Stampante
F01021623;;CP-A100;0000-00-00;0000-00-00;;beamer della LIM;0;aula32;Hitachi;Beamer
CZC3216NTS;HP Compaq Elite 8300 CMT PC ALL;QV993AV;2013-05-25;2016-06-23;client8863;;0;aula32;HP;Tower
VLAGD50;ASSEMBLY L171P-9417 Monitor;4439HB2;2007-09-27;2010-09-26;Mon6;;0;aula35;Lenovo;Monitor
VLAGD50;ASSEMBLY L171P-9417 Monitor;4439HB2;2007-09-27;2010-09-26;Mon6;;0;aula35;Lenovo;Monitor
XLN7144235;FS-3900DN;FS-3900DN;0000-00-00;0000-00-00;aula35bn18;firmware rilasciato nel 2006;0;aula35;Kyocera;Stampante
F4KE01568;;CP-AX3003;0000-00-00;0000-00-00;;beamer della LIM;0;aula35;Hitachi;Beamer
CZC1231L1V;HP Compaq 8100 Elite CMT PC;AY031AV;2011-06-09;2014-06-08;HP Tower 3/ client8874;;0;aula35;HP;Tower
CZC1231L0L;HP Compaq 8100 Elite CMT PC;AY031AV;2011-06-09;2014-07-08;HP Tower 4/ client8872;;0;aula36;HP;Tower
V6B7247;ASSEMBLY L1951p Wide Monitor;2448HC6;2010-08-23;2013-08-22;Mon16;;0;aula36;Lenovo;Monitor
F4KE015669;;CP-AX3003;0000-00-00;0000-00-00;;beamer della LIM;0;aula36;Hitachi;Beamer
;;;0000-00-00;0000-00-00;;;0;aula36;Hitachi;Lavagna multimediale
XEY0134918;FS-3920DN;FS-3920DN;0000-00-00;0000-00-00;Aula36BN26;;0;aula36;Kyocera;Stampante
F4KE015669;;CP-AX3003;0000-00-00;0000-00-00;;beamer della LIM;0;aula36;Hitachi;Beamer
NUM2Z12797;FS-4100;FS-4100;0000-00-00;0000-00-00;aula37bn20;;0;aula37;Kyocera;Stampante
;;CP-A301N;0000-00-00;0000-00-00;;beamer della LIM;0;aula37;Hitachi;Beamer
CZC2197H2P;HP Compaq 8200 Elite CMT PC;XL508AV;2041-04-03;0000-00-00;client8875;;0;aula37;HP;Tower
VLAGD42;ASSEMBLY L171P-9417 Monitor;4439HB2;0000-00-00;0000-00-00;mon28;;0;aula37;Lenovo;Monitor
;StarBoard;;0000-00-00;0000-00-00;;;0;aula37;Hitachi;Lavagna multimediale
CZC443277M;HP EliteOne 800 G1 Touch AiO 23;D0A61AV;2014-10-25;2017-11-23;;Samuel;0;aula4;HP;Monitor
VLAGD33;ASSEMBLY L171P-9417 Monitor;4439HB2;2007-10-15;2010-10-14;MonDMS;;0;aula4;Lenovo;Monitor
V1N5371965;FS-2100DN;FS-2100DN;0000-00-00;0000-00-00;aula4bn10;;0;aula4;Kyocera;Stampante
CZC3186LZ4;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-09;2016-06-07;Client8849;;0;aula4;HP;Monitor
;;EB-1430Wi;0000-00-00;0000-00-00;;;0;aula4;Epson;Lavagna multimediale
CZC1231L17;HP Compaq 8100 Elite CMT PC;AY031AV;2011-06-09;2014-07-08;HP Tower 1/ client8858;;0;aula4;HP;Tower
;;;0000-00-00;0000-00-00;;;0;aula4;Hitachi;Lavagna multimediale
FXD77-B17395;StarBoard;;0000-00-00;0000-00-00;;;0;aula4;Hitachi;Lavagna multimediale
;StarBoard;;0000-00-00;0000-00-00;;;0;aula4;Hitachi;Lavagna multimediale
CNC302PTQ5;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;monitor11;;0;aula6;HP;Monitor
CZC32016T0;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-16;2016-06-14;client8857;;0;aula6;HP;Desktop
XEY0134151;FS-3920DN;FS-3920DN;0000-00-00;0000-00-00;aula6bn11;;0;aula6;Kyocera;Stampante
CZC32016SY;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-16;2016-06-14;client8852;;0;aula6;HP;Desktop
VLAGD40;ASSEMBLY L171P-9417 Monitor;9417HC2;2007-09-27;2010-09-27;MonSeg1;;0;aula6;Lenovo;Monitor
CZC4151ZXB;;H5U03EA;0000-00-00;0000-00-00;client8845;;0;aula6;HP;Desktop
